2021-05-13 14:32:16,784 DEBUG [urllib3.connectionpool] _new_conn:971: Starting new HTTPS connection (1): pan.lanzous.com:443
2021-05-13 14:32:18,938 DEBUG [urllib3.connectionpool] _new_conn:971: Starting new HTTPS connection (1): pan.lanzous.com:443
2021-05-13 14:32:27,492 DEBUG [urllib3.connectionpool] _new_conn:971: Starting new HTTPS connection (1): pan.lanzous.com:443
2021-05-13 14:32:29,620 DEBUG [urllib3.connectionpool] _new_conn:971: Starting new HTTPS connection (1): pan.lanzous.com:443
2021-05-13 14:33:45,829 INFO  [DNFCalculating] 计算线程:1354: 开始计算
2021-05-13 14:33:46,601 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=0 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=0
2021-05-13 14:33:47,200 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=0 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=0
2021-05-13 14:33:47,724 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=0 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=7
2021-05-13 14:33:48,232 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=4 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=7
2021-05-13 14:33:48,739 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=7 sync_batch_size=100 processed_result=400, speed=175.74/s totalWork=7
2021-05-13 14:33:48,747 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=1 sync_batch_size=100 processed_result=1000, speed=437.81/s totalWork=7
2021-05-13 14:33:49,262 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=9 sync_batch_size=100 processed_result=1100, speed=393.01/s totalWork=7
2021-05-13 14:33:49,264 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=8 sync_batch_size=100 processed_result=1200, speed=428.43/s totalWork=7
2021-05-13 14:33:49,274 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=0 sync_batch_size=100 processed_result=2000, speed=711.53/s totalWork=7
2021-05-13 14:33:49,784 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=13 sync_batch_size=100 processed_result=2000, speed=602.19/s totalWork=7
2021-05-13 14:33:49,786 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=12 sync_batch_size=100 processed_result=2100, speed=632.02/s totalWork=7
2021-05-13 14:33:49,794 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=3 sync_batch_size=100 processed_result=3000, speed=900.73/s totalWork=7
2021-05-13 14:33:50,307 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=15 sync_batch_size=100 processed_result=3300, speed=858.48/s totalWork=7
2021-05-13 14:33:50,309 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=14 sync_batch_size=100 processed_result=3400, speed=884.15/s totalWork=7
2021-05-13 14:33:50,315 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=8 sync_batch_size=100 processed_result=4000, speed=1038.44/s totalWork=7
2021-05-13 14:33:50,830 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=15 sync_batch_size=100 processed_result=4900, speed=1122.11/s totalWork=7
2021-05-13 14:33:50,832 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=14 sync_batch_size=100 processed_result=5000, speed=1144.49/s totalWork=7
2021-05-13 14:33:50,842 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=4 sync_batch_size=100 processed_result=6000, speed=1370.12/s totalWork=7
2021-05-13 14:33:51,353 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=15 sync_batch_size=100 processed_result=6400, speed=1308.78/s totalWork=7
2021-05-13 14:33:51,354 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=14 sync_batch_size=100 processed_result=6500, speed=1328.82/s totalWork=7
2021-05-13 14:33:51,360 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=9 sync_batch_size=100 processed_result=7000, speed=1429.44/s totalWork=7
2021-05-13 14:33:51,369 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=1 sync_batch_size=100 processed_result=8000, speed=1630.51/s totalWork=7
2021-05-13 14:33:51,875 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=13 sync_batch_size=100 processed_result=8100, speed=1496.57/s totalWork=7
2021-05-13 14:33:51,877 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=12 sync_batch_size=100 processed_result=8200, speed=1514.50/s totalWork=7
2021-05-13 14:33:51,886 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=5 sync_batch_size=100 processed_result=9000, speed=1659.67/s totalWork=7
2021-05-13 14:33:52,399 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=14 sync_batch_size=100 processed_result=9500, speed=1600.50/s totalWork=7
2021-05-13 14:33:52,401 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=13 sync_batch_size=100 processed_result=9600, speed=1616.81/s totalWork=7
2021-05-13 14:33:52,405 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=9 sync_batch_size=100 processed_result=10000, speed=1683.05/s totalWork=7
2021-05-13 14:33:52,415 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=0 sync_batch_size=100 processed_result=11000, speed=1847.97/s totalWork=7
2021-05-13 14:33:52,921 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=14 sync_batch_size=100 processed_result=11000, speed=1703.34/s totalWork=7
2021-05-13 14:33:52,923 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=13 sync_batch_size=100 processed_result=11100, speed=1718.29/s totalWork=7
2021-05-13 14:33:52,932 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=5 sync_batch_size=100 processed_result=12000, speed=1854.91/s totalWork=7
2021-05-13 14:33:53,444 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=13 sync_batch_size=100 processed_result=12500, speed=1790.52/s totalWork=7
2021-05-13 14:33:53,446 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=12 sync_batch_size=100 processed_result=12600, speed=1804.46/s totalWork=7
2021-05-13 14:33:53,450 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=8 sync_batch_size=100 processed_result=13000, speed=1860.69/s totalWork=7
2021-05-13 14:33:53,967 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=15 sync_batch_size=100 processed_result=13900, speed=1852.35/s totalWork=7
2021-05-13 14:33:53,968 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=14 sync_batch_size=100 processed_result=14000, speed=1865.31/s totalWork=7
2021-05-13 14:33:53,979 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=4 sync_batch_size=100 processed_result=15000, speed=1995.77/s totalWork=7
2021-05-13 14:33:54,490 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=14 sync_batch_size=100 processed_result=15400, speed=1918.58/s totalWork=7
2021-05-13 14:33:54,491 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=13 sync_batch_size=100 processed_result=15500, speed=1930.68/s totalWork=7
2021-05-13 14:33:54,496 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=8 sync_batch_size=100 processed_result=16000, speed=1991.73/s totalWork=7
2021-05-13 14:33:55,012 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=15 sync_batch_size=100 processed_result=16800, speed=1965.13/s totalWork=7
2021-05-13 14:33:55,013 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=14 sync_batch_size=100 processed_result=16900, speed=1976.48/s totalWork=7
2021-05-13 14:33:55,015 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=13 sync_batch_size=100 processed_result=17000, speed=1987.83/s totalWork=7
