2021-06-11 14:10:44,375 DEBUG [urllib3.connectionpool] _new_conn:971: Starting new HTTPS connection (1): pan.lanzous.com:443
2021-06-11 14:10:44,415 DEBUG [urllib3.connectionpool] _new_conn:971: Starting new HTTPS connection (1): pan.lanzous.com:443
2021-06-11 14:11:15,019 ERROR [DNFCalculating] 载入json:3481: list index out of range
2021-06-11 14:11:52,590 INFO  [DNFCalculating] 计算线程:1354: 开始计算
2021-06-11 14:11:53,233 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=0 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=0
2021-06-11 14:11:53,832 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=0 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=0
2021-06-11 14:11:54,447 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=0 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=7
2021-06-11 14:11:54,955 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=3 sync_batch_size=100 processed_result=0, speed=0.00/s totalWork=7
2021-06-11 14:11:55,462 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=6 sync_batch_size=100 processed_result=300, speed=126.64/s totalWork=7
2021-06-11 14:11:55,985 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=9 sync_batch_size=100 processed_result=900, speed=311.23/s totalWork=7
2021-06-11 14:11:55,987 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=8 sync_batch_size=100 processed_result=1000, speed=345.58/s totalWork=7
2021-06-11 14:11:56,508 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=13 sync_batch_size=100 processed_result=1800, speed=527.09/s totalWork=7
2021-06-11 14:11:56,510 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=12 sync_batch_size=100 processed_result=1900, speed=556.05/s totalWork=7
2021-06-11 14:11:56,512 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=11 sync_batch_size=100 processed_result=2000, speed=585.06/s totalWork=7
2021-06-11 14:11:56,524 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=2 sync_batch_size=100 processed_result=3000, speed=874.55/s totalWork=7
2021-06-11 14:11:57,031 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=12 sync_batch_size=100 processed_result=3200, speed=812.67/s totalWork=7
2021-06-11 14:11:57,033 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=11 sync_batch_size=100 processed_result=3300, speed=837.73/s totalWork=7
2021-06-11 14:11:57,042 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=5 sync_batch_size=100 processed_result=4000, speed=1013.00/s totalWork=7
2021-06-11 14:11:57,554 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result_in_background remaining_qize=15 sync_batch_size=100 processed_result=4500, speed=1008.90/s totalWork=7
2021-06-11 14:11:57,555 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=14 sync_batch_size=100 processed_result=4600, speed=1030.92/s totalWork=7
2021-06-11 14:11:57,561 INFO  [DNFCalculating] log_result_queue_info:1367: calc#1: 排行: try_fetch_result periodly report remaining_qize=10 sync_batch_size=100 processed_result=5000, speed=1119.20/s totalWork=7
